User_ID,Content_Type,Content_Duration,Watch_Time,Pause_Count,Replay_Count,Notes_Count,Quiz_Attempts,Quiz_Score,Login_Frequency,Session_Duration,Previous_Content_Completion,Device_Type,Time_of_Day,Completion_Status,Watch_Percentage,Average_Session_Time,Engagement_Score,Replay_Ratio,Quiz_Performance,Cluster,User_Segment
U001,Tutorial,71,23,2,4,0,2,42,15,38,Completed,Tablet,Morning,Completed,32.3943661971831,2.533333333333333,25.715197701791485,0.16666666666666666,21.0,0,Passive Users
U002,Quiz,93,88,7,4,1,3,61,5,68,Not Completed,Tablet,Afternoon,Completed,94.6236559139785,13.6,54.98349057382779,0.0449438202247191,20.333333333333332,1,Regular Learners
U003,Course,98,98,2,2,4,4,83,13,134,Not Completed,Mobile,Afternoon,Completed,100.0,10.307692307692308,84.26226151063176,0.020202020202020204,20.75,2,Highly Engaged Learners
U004,Quiz,95,24,7,3,1,2,41,8,107,Completed,Mobile,Evening,Not Completed,25.263157894736842,13.375,16.09144195688375,0.12,20.5,0,Passive Users
U005,Quiz,22,22,3,1,3,4,63,8,26,Not Completed,Mobile,Afternoon,Completed,100.0,3.25,62.88269224205604,0.043478260869565216,15.75,1,Regular Learners
U006,Article,68,16,0,5,3,4,73,5,116,Completed,Tablet,Morning,Not Completed,23.52941176470588,23.2,40.210567315086045,0.29411764705882354,18.25,0,Passive Users
U007,Course,28,28,2,3,3,0,66,12,52,Completed,Tablet,Morning,Completed,100.0,4.333333333333333,75.65104611078877,0.10344827586206896,66.0,1,Regular Learners
U008,Course,58,5,6,5,5,2,94,9,89,Not Completed,Tablet,Night,Not Completed,8.620689655172415,9.88888888888889,55.99167207071913,0.8333333333333334,47.0,0,Passive Users
U009,Course,109,94,7,2,5,2,80,15,171,Not Completed,Mobile,Morning,Completed,86.23853211009175,11.4,85.14762848467447,0.021052631578947368,40.0,2,Highly Engaged Learners
U010,Quiz,21,18,2,2,0,4,40,1,17,Not Completed,Tablet,Night,Not Completed,85.71428571428571,17.0,26.698619650597532,0.10526315789473684,10.0,1,Regular Learners
U011,Tutorial,70,68,5,2,3,3,47,4,150,Completed,Laptop,Afternoon,Completed,97.14285714285714,37.5,55.58649003135163,0.028985507246376812,15.666666666666666,2,Highly Engaged Learners
U012,Course,114,42,1,0,4,0,62,3,115,Completed,Tablet,Morning,Not Completed,36.84210526315789,38.333333333333336,29.016079226702544,0.0,62.0,0,Passive Users
U013,Quiz,28,28,6,5,1,4,77,2,17,Completed,Laptop,Afternoon,Completed,100.0,8.5,62.288815317928936,0.1724137931034483,19.25,1,Regular Learners
